PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingEmail
40136213,Did the COVID-19 pandemic influence the use of psychotropic medications by university students and LGBTQIAPN+? A Brazilian multicenter study.,2025,Silva LSD; Paula W; Barbosa BCR; Nobre LN; Nascimento RCRMD; Oliveira HN; Freitas ED; Silva GND; Menezes Junior LAA; Cardoso CS; Ferreira LG; Meireles AL; Machado EL; Vidigal FC,"Universidade Federal de Juiz de Fora, Governador Valadares, Brasil.; Universidade Federal de Uberlandia, Uberlandia, Brasil.; Universidade Federal dos Vales do Jequitinhonha e Mucuri, Diamantina, Brasil.; Universidade Federal de Ouro Preto, Ouro Preto, Brasil.; Universidade Federal de Sao Joao del-Rei, Divinopolis, Brasil.; Universidade Federal de Alfenas, Alfenas, Brasil.; Universidade Federal de Lavras, Lavras, Brasil.; Universidade Federal de Minas Gerais, Belo Horizonte, Brasil.",Not found
40136202,An institutional COVID-19 initiative: creation of a biobank and serological data analysis in pre- and post-vaccination cohorts.,2025,Melo RRA; DA Poian AT; Wermelinger LS; Salmon D; Almeida FCL; Fernandes-Siqueira LO; Ferreira GC,"Universidade Federal do Rio de Janeiro, Centro de Ciencias da Saude (CCS), Instituto de Bioquimica Medica Leopoldo de Meis, Avenida Carlos Chagas Filho, 373, Bloco K, Cidade Universitaria, Ilha do Fundao, 21941-902 Rio de Janeiro, RJ, Brazil.; Universidade Federal do Rio de Janeiro, Centro de Ciencias da Saude (CCS), Faculdade de Farmacia, Avenida Carlos Chagas Filho, 373, Bloco A, Cidade Universitaria, Ilha do Fundao, 21941-170 Rio de Janeiro, RJ, Brazil.",Not found
40136172,"[The role of the Brazilian Society of Bioethics and the ""Frente pela Vida"" in the COVID-19 pandemic from the perspective of critical bioethics].",2025,Trindade MA; Cunha TRD,"Programa de Pos-Graduacao em Bioetica, Pontificia Universidade Catolica do Parana. R. Imac. Conceicao 1155, Prado Velho. 80215-901 Curitiba PR Brasil. rocha.thiago@pucpr.br.",rocha.thiago@pucpr.br
40136171,[Modeling of COVID-19 in Brazil and the interplay between Academia and health managers during the Pandemic].,2025,Bagattini AM; Almeida GB; Rosa MQMD; Toscano CM; Rosa IIR; Simon LM; Camey SA,"Departamento de Infectologia, Dermatologia, Diagnostico por Imagem e Radioterapia, Faculdade de Medicina de Botucatu, Universidade Estadual Paulista. Botucatu SP Brasil.; Instituto de Patologia Tropical e Saude Publica, Universidade Federal de Goias. R. 235, s/n, Setor Leste Universitario. 74605-050 Goiania GO Brasil. michelleqmrosa@gmail.com.; Faculdade de Medicina, Universidade Federal de Goias. Goiania GO Brasil.; Programa de Pos-Graduacao em Ecologia e Evolucao, Departamento de Ecologia, Universidade Federal de Goias. Goiania GO Brasil.; Departamento de Estatistica, Instituto de Matematica e Estatistica, Universidade Federal do Rio Grande do Sul. Porto Alegre RS Brasil.",michelleqmrosa@gmail.com
40136151,How the COVID-19 pandemic affected routine child vaccination: an integrative review.,2025,Camargo LGG; Serbena DR; More JS; Santos FSD; Clemente PA; Bonini JS,"Laboratorio de Neurociencias e Comportamento, Universidade Estadual do Centro-Oeste, Guarapuava, PR, Brazil.",Not found
40136060,Mortality by Cause of Death in Brazil: A Research Note on the Effects of the COVID-19 Pandemic and Contribution to Changes in Life Expectancy at Birth.,2025,Turra CM; Franca GVA; Castro MC; Fernandes F,"Brazilian Ministry of Health, Brasilia, Brazil.; Department of Demography, Cedeplar, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil.",Not found
40135916,Post-pandemic upsurge in Group A Streptococcus infections at an Italian tertiary university hospital.,2025,Santoro F; Capuano R; Cassani G; Colombini L; Bianco A; Tirziu M; Gigante P; Iannelli F; Clementi N; Drago Ferrante F; Novazzi F; Arcari G; Paolo Genoni A; Carbotti M; Boutahar S; Pasciuta R; Mancini N,"Laboratory of Medical Microbiology and Virology, Ospedale di Circolo e Fondazione Macchi, Varese, Italy. RINGGOLD: 18709",Not found
40135900,Reducing tuberculosis transmission by genotype-based contact tracing coupled with public health containment measures: a case study during the COVID-19 pandemic in Taiwan.,2025,Lai C-C; Chien Y-S; Yeh Y-P; Chen H-p; Wang HC; Hsu C-Y; Lin S-Y; Luh D-L; Hsieh Y-C; Chen TH-H,"Changhua Public Health Bureau, Changhua, Taiwan. RINGGOLD: 615453; Ershuei Township Health Center, Changhua, Taiwan.",Not found
40132197,Adolescent Cyberbullying and Cyber Victimization: Longitudinal Study Before and During COVID-19.,2025,Schulz PJ; van Ackere A; Boldi MO,"Faculty of Communication, Culture and Society, Universita della Svizzera Italiana, Lugano, Switzerland.",Not found
40132079,Overcoming barriers to medical countermeasures: Strengthening global biosecurity.,2025,Kazi S; Ahmed S; Shetty P; Kori SA; Choudhary A; Syeda S; Khaiterpal A; Shah SM; Pathak S; Sharma K,"Strategic Medical Affairs, Techinvention Lifecare Private Limited, Mumbai, India.; Global Business Development, Techinvention Lifecare Private Limited, Mumbai, India.; Business Development and Strategy, TechInvention Lifecare Private Limited, Mumbai, India.; Regulatory Affairs, Techinvention Lifecare Private Limited, Mumbai, India.; Global Business Development and Strategy, Techinvention Lifecare Private Limited, Mumbai, India.; Intellectual Property and Legal, Techinvention Lifecare Private Limited, Mumbai, India.",Not found
40132058,A Decrease of Antibodies Against SARS-CoV-2 Antigens Does Not Reflect a Decrease of Neutralization Rate: Comment.,2025,Daungsupawong H; Wiwanitkit V,"Private Academic Consultant, Phonhong, Lao People's Democratic Republic.",Not found
40131937,Acceptability and feasibility of HIV self-testing integration into publicly-funded HIV prevention services: Perspectives from HIV testing agency staff that provide HIV testing services to sexual and gender minority youth in Philadelphia County.,2025,Watson DL; Brady KA; Meanley S; Bauermeister JA; Wood SM; Bonett S,"Philadelphia Department of Public Health, Philadelphia, Pennsylvania, United States of America.",Not found
40131936,Psychological capital and mental health problems among the unemployed in the post-COVID-19 era: Self- esteem as a moderator.,2025,Tee PK; Teh CJ; Dat NT; Trung CTT,"Lumos Psychotherapy and Counseling Center, Ho Chi Minh City, Vietnam.",Not found
40131892,Effect of the online module on leadership in knowledge acquisition among nursing students: A randomized controlled study protocol.,2025,Mendes FCO; Souza LL; Silva LCMA; Fonseca JFD; Camara RPPOA; Dantas DV; Silva SO; Dantas RAN,"Post-graduate Program in Nursing, Universidade Federal do Rio Grande do Norte, Natal, Rio Grande do Norte, Brazil.; Nursing Department, Universidade Federal do Rio Grande do Norte, Natal, Rio Grande do Norte, Brazil.; Graduate, Nursing Departament, Universidade Federal do Rio Grande do Norte, Natal, Rio Grande do Norte, Brazil.",Not found
40131871,"Temporal dynamics of SARS-CoV-2 shedding in feces and saliva: a longitudinal study in Norfolk, United Kingdom during the 2021-2022 COVID-19 waves.",2025,Garcia-Gutierrez E; Snell J; de Oliveira Martins L; Altera A; Hayhoe A; Kellingray L; Yara DA; Hutchins C; Hacon C; Elumogo N; Sayavedra L; Baker D; Savva GM; Narbad A; Romano S,"Department of Agronomic Engineering-ETSIA, Universidad Politecnica de Cartagena, Paseo Alfonso XIII, Cartagena, Region of Murcia, Spain. RINGGOLD: 16769. ROR: https://ror.org/02k5kx966",Not found
40131861,ACE2 Deficiency Protects Against Heme Protein-Induced Acute Kidney Injury.,2025,Barry MA; Singh RD; Ackerman AW; Gurley S; Nath KA; Grande JP; Juncos LA; Croatt AJ,"Division of Infectious Diseases, Department of Medicine, Mayo Clinic Rochester, MN.; FME Global Medical Office, Medical Affairs.; Division of Nephrology and Hypertension, Department of Medicine, Mayo Clinic Rochester, MN.",Not found
40131801,[A decade of changes in cardiac surgery: an Italian geographical and gender analysis].,2025,Fattouch K; Savini C; Zebele C; Santarpino G; Giuliano L; Lamanna M; Avolio M; Martinelli L; Comoglio C; Paparella D; Nasso G; Coppola R; Carbone C; Fiorani V; Specchia L; Moretti AM; Speziale G; Del Giglio M,"Clinical Data Management, GVM Care & Research, Roma.; Dipartimento di Cardiochirurgia, Clinica Montevergine, GVM Care & Research, Mercogliano (AV).; Dipartimento di Cardiochirurgia, ICLAS, GVM Care & Research, Rapallo (GE).",Not found
40131575,Policy Impediments to Tuberculosis Elimination: Consequences of an Absent Medicare National Coverage Determination for Tuberculosis Prevention.,2025,Wegener DH; Shete PB; Tschampl CA; Ahamed N; Salcedo K; Coates ES; Murrill MT; Flood J,"National Tuberculosis Coalition of America, Atlanta, USA.; Stop TB USA, Atlanta, USA.; Tuberculosis Control Branch, California Department of Public Health, Richmond, USA.",matthew.murrill@ucsf.edu
40131515,Evaluation of the efficacy of the SARS-CoV-2 vaccine additional and booster doses in immunocompromised patients with multiple sclerosis: the COVACiMS study.,2025,Nobrega C; Ladeira F; Cerqueira J,"Centro Clinico Academico de Lisboa, Lisbon, Portugal. filipaladeira@msn.com.",filipaladeira@msn.com
40131456,SARS-CoV-2 infection in pregnant women and incidence of thromboembolic disease: an analysis of the Covid-19-Related Obstetric and Neonatal Outcome Study (CRONOS) in Germany.,2025,Wockel A; Gruber TM; Buchel J; Rath W; Linnemann B; Hollweck R; Russe E; Gruessner S; Sitter M; Seliger G; Berghaeuser MA; Schrey-Petersen S; Pecks U; Bohlmann MK; Andresen K; Bartmann C; Kaup L; Ruehl IM; Morfeld C; Oberste KM; Kranke P; Biermann AL; Tihon A; Bauerfeind LM; Dressler-Steinbach I; Lihs A; Birdir C; Ramsauer B; Richter MF; Erol FM; Eichinger T; Manz J; Jakubowski P,"Department of Obstetrics and Gynecology, St. Elisabethen-Krankenhaus Lorrach, Lorrach, Germany.; Perinatal Care Center, Diakovere Hannover, Hannover, Germany.; Department of Obstetrics and Gynecology, Dr Geisenhofer Clinic for Gynecology and Obstetrics, Munich, Germany.; Department of Obstetrics, Charite, Berlin, Germany.; Department of Obstetrics and Gynecology, Klinikum Darmstadt GmbH, Darmstadt, Germany.; Novustat GmbH, Roosstr. 43, 8832, Wollerau, Switzerland.; Department of Gynecology and Obstetrics, Klinikum Wilhelmshaven, Wilhelmshaven, Germany.; Department of Obstetrics, Vivantes-Klinikum Neukolln, Berlin, Germany.",Pecks_u@ukw.de
40131414,[Evaluation of the implementation of the measles and COVID-19 vaccination mandates by public health authorities and health facilities: 2 case studies].,2025,Schmid-Kupke N; Rehfuess E; Neufeind J; Kranz L; Wichmann O,"Fachgebiet Impfpravention, STIKO, Abteilung fur Infektionsepidemiologie, Robert Koch-Institut, Seestrasse 10, 13353, Berlin, Deutschland. KuepkeN@rki.de.; Institut fur Medizinische Informationsverarbeitung Biometrie und Epidemiologie, Medizinische Fakultat, Ludwig-Maximilians-Universitat Munchen, Munchen, Deutschland.; Fachgebiet Impfpravention, STIKO, Abteilung fur Infektionsepidemiologie, Robert Koch-Institut, Seestrasse 10, 13353, Berlin, Deutschland.",KuepkeN@rki.de
40131321,"PEGylated lipid screening, composition optimization, and structure-activity relationship determination for lipid nanoparticle-mediated mRNA delivery.",2025,Karve S; Liu L; Li Z; Sun M; Northen T; Tang J; Mcintosh E; DeRosa F; Kim JH,"mRNA Center of Excellence, Sanofi, Waltham, MA 02451, USA. Shri.Karve@Sanofi.com.",Shri.Karve@Sanofi.com
40131290,The impact of COVID-19 on health system resilience to the cerebrospinal meningitis outbreak in the Upper West Region of Ghana: a qualitative study.,2025,Dam KM; Kunfah SMP; Baatiema L,"Ghana Health Service, Upper West Regional Health Directorate, Wa, Ghana.; L&E Research Consult Ltd, Wa, Upper West Region, Ghana.",Not found
40131188,Artificial intelligence and its application in clinical microbiology.,2025,Mairi A; Touati A; Hamza L,"Universite de Bejaia, Laboratoire d'Ecologie Microbienne, Bejaia, Algeria.; Universite de Bejaia, Departement d'informatique Laboratoire d'Informatique MEDicale (LIMED).",Not found
40130964,War Fatalities in Russia in 2022-2023 Estimated Via Excess Male Mortality: A Research Note.,2025,Kobak D; Bessudnov A; Ershov A; Mikhailova T; Raksha A,Independent Researcher.,Not found
40130874,SARS-CoV-2 neutralizing antibody specificities differ dramatically between recently infected infants and immune-imprinted individuals.,2025,Dadonaite B; Payne DC; Chu HY; Haslam DB; Burrell AR; Logue J; Bloom JD; Staat MA,"Basic Sciences Division and Computational Biology Program, Fred Hutchinson Cancer Center, Seattle, Washington, USA. RINGGOLD: 7286",Not found
40130863,Inter-laboratory harmonization of microsphere immunoassays for SARS-CoV-2 antibody detection in contrived dried blood spots and oral fluids.,2025,Styer LM; Mantis NJ; Heaney CD; Pisanic N; Kruczynski K; DeRosa KL,"New York State Department of Health, Wadsworth Center, Albany, New York, USA.",Not found
40130852,The effect of molnupiravir and nirmatrelvir on SARS-CoV-2 genome diversity in severe models of COVID-19.,2025,Sharma P; Donovan-Banfield I; Bentley EG; Sharp J; Kipar A; Owen A; Penrice-Randal R; Mega DF; Bramwell C; Hiscox JA; Stewart JP; Kirby A,"NIHR Health Protection Research Unit in Emerging and Zoonotic Infections, Liverpool, England, United Kingdom. RINGGOLD: 574519. ROR: https://ror.org/05vvt7a66; A*STAR Infectious Diseases Laboratories (A*STAR ID Labs), Agency for Science, Technology and Research (A*STAR), , Singapore. RINGGOLD: 54759. ROR: https://ror.org/036wvzt09",Not found
40130784,Audit and feedback: effects on professional practice.,2025,Rouleau G; Canavan T; Beccaria L; Gearon E; Shah M; Seaton S; Fletcher A; Han JX; Antony J; Linklater S; Grimshaw JM; Simeoni M; Lorencatto F; Ivers N; Bazazo A; Giltenane M; Crawshaw J; Murray BJ; Alderson S; Lepage S; Konnyu K; Butler EA; Wallis JA; O'Connor D; Lalor A; Willis TA; Rozbroj T; Fontaine G; Lacroix M; Presseau J; Meyer C; Yogasingam S; Solbak NM; Cyril S; Grobler L; Jenkins H; Wu K; Reis C; Xu AX; Colquhoun H; Halasy M; Soobiah C; Antonopoulou V; Sykes M; Brown KA; Carter MD,"Nursing department, Universite du Quebec en Outaouais, Saint-Jerome, Canada.; Toronto, Canada.; Public Health Ontario, Toronto, Canada.",Not found
40130741,Virus Monitoring in Denmark: A Community-Based Self-Sampling System to Surveil Respiratory Viruses and Associated Symptoms.,2025,Jensen A; Vangsted AM; Chong S; Rasmussen C; Jessen R; Mortensen S; Wilkowski B; Shaw DS; Krause TG; Botnen AB; Benameur E; Nielsen RB; Ginty JR; Olsen SS; Rasmussen M; Moller FT; Steenhard NR; Schneider UV; Brodbaek DL; Trebbien R; Larsen TG,"Biobank, Congenital Disorders & Vaccine Preparedness, Statens Serum Institut, Copenhagen, Denmark.; Epidemiological Infectious Disease Preparedness, Statens Serum Institut, Copenhagen, Denmark.; ECDC Fellowship Programme, Public Health Microbiology path (EUPHEM), European Centre for Disease Prevention and Control (ECDC), Stockholm, Sweden.; Department of Virology and Microbiological Preparedness, Statens Serum Institut, Copenhagen, Denmark.; Department for Digital Infrastructure, Statens Serum Institut, Copenhagen, Denmark.; Department of Data Integration and Analysis, Infectious Disease Preparedness, Statens Serum Institut, Copenhagen, Denmark.; Department of High-Capacity Diagnostics, Statens Serum Institut, Copenhagen, Denmark.; Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark.; Department of Infectious Disease Epidemiology and Prevention, Statens Serum Institut, Copenhagen, Denmark.",Not found
